DATE,HPIPONM226S
2007-02-01,225.36
2007-03-01,226.52
2007-04-01,226.5
2007-05-01,225.4
2007-06-01,224.61
2007-07-01,223.57
2007-08-01,222.62
2007-09-01,221.63
2007-10-01,219.9
2007-11-01,218.43
2007-12-01,217.41
2008-01-01,215.49
2008-02-01,214.25
2008-03-01,212.37
2008-04-01,210.02
2008-05-01,207.69
2008-06-01,206.38
2008-07-01,204.56
2008-08-01,202.64
2008-09-01,200.83
2008-10-01,198.95
2008-11-01,195.44
2008-12-01,194.98
2009-01-01,196.96
2009-02-01,197.22
2009-03-01,194.77
2009-04-01,193.75
2009-05-01,193.29
2009-06-01,193.2
2009-07-01,192.64
2009-08-01,192.25
2009-09-01,192.2
2009-10-01,192.6
2009-11-01,193.04
2009-12-01,191.05
2010-01-01,191.35
2010-02-01,190.37
2010-03-01,190.4
2010-04-01,190.56
2010-05-01,190.62
2010-06-01,188.51
2010-07-01,187.36
2010-08-01,187.17
2010-09-01,185.43
2010-10-01,185.64
2010-11-01,184.99
2010-12-01,183.69
2011-01-01,182.95
2011-02-01,180.92
2011-03-01,179.29
2011-04-01,179.68
2011-05-01,179.22
2011-06-01,179.88
2011-07-01,180.44
2011-08-01,179.82
2011-09-01,180.97
2011-10-01,179.83
2011-11-01,180.67
2011-12-01,181.31
2012-01-01,180.72
2012-02-01,181.24
2012-03-01,182.87
2012-04-01,183.99
2012-05-01,185.07
2012-06-01,185.8
2012-07-01,186.12
2012-08-01,187.24
2012-09-01,188.1
2012-10-01,189.17
2012-11-01,190.09
2012-12-01,191.01
2013-01-01,192.35
2013-02-01,193.57
2013-03-01,195.84
2013-04-01,196.87
2013-05-01,198.53
2013-06-01,199.77
2013-07-01,201.06
2013-08-01,201.81
2013-09-01,202.8
2013-10-01,203.64
2013-11-01,203.69
2013-12-01,204.79
2014-01-01,205.93
2014-02-01,206.68
2014-03-01,207.52
2014-04-01,208.15
2014-05-01,208.61
2014-06-01,209.51
2014-07-01,210.43
2014-08-01,211.4
2014-09-01,211.87
2014-10-01,212.95
2014-11-01,213.92
2014-12-01,215.65
2015-01-01,216.07
2015-02-01,217.45
2015-03-01,218.38
2015-04-01,219.5
2015-05-01,220.65
2015-06-01,221.46
2015-07-01,222.4
2015-08-01,222.92
2015-09-01,224.68
2015-10-01,225.69
2015-11-01,227.1
2015-12-01,228.19
2016-01-01,229.4
2016-02-01,230
2016-03-01,232.19
2016-04-01,232.82
2016-05-01,233.7
2016-06-01,234.64
2016-07-01,235.8
2016-08-01,237.45
2016-09-01,239.21
2016-10-01,239.85
2016-11-01,241.53
2016-12-01,242.4
2017-01-01,242.88
2017-02-01,244.8
